Expression Technique,Geometric Mean Complexity Weight,Log Scaled Geometric Mean Complexity,Geometric Mean Complexity Weight accounting for total playing time,Log Scaled Geometric Mean Complexity accounting for total playing time,Relative to 'default' element Complexity Weight,Relative to 'default' element Complexity Weight accounting for total playing time
none,1.0,1.0,1.0,1.0,1.0,1.0
vibrato,2.2093978664282448,1.6823026504306724,1.900722492139225,1.5364122816218029,1.2072653641568598,1.32318840060459
trill,1.94286059503037,1.5572192026174712,1.50587606594782,1.3253150645145741,1.24739583333333,1.26471998978506
slow-vibrato,1.59589606339255,1.3762326206906794,1.4561857433735,1.2964196653136402,1.10599078341014,1.26123877725281
quater_bend,2.19972039233062,1.6779458406680883,1.53244788994908,1.340532583069646,1.57912457912458,1.2806468077246
fast-vibrato,2.82289966946394,1.9346673376912085,2.34525924090495,1.7421180168684731,1.30853994490358,1.38513802395637
trill-slide,4.38470875374531,2.4288683148919756,3.00164895875541,2.000594613601521,1.54545454545455,1.5356810466756
slide,0.147175732217573,0.19808641016738207,0.145295501484491,0.19571988087557515,1.01271186440678,1.0479363136981
whole_bend,3.64721604029325,2.216366714574241,2.83996397931525,1.9410927778456517,1.5253164556962,1.50106971147739
half_bend,1.09471742654335,1.0667556401918639,1.24035078831223,1.1637246434150212,1.16747572815534,1.27515001491954
