Shifting Distance,Geometric Mean Complexity Weight,Log Scaled Geometric Mean Complexity,Geometric Mean Complexity Weight accounting for total playing time,Log Scaled Geometric Mean Complexity accounting for total playing time,Relative to 'default' element Complexity Weight,Relative to 'default' element Complexity Weight accounting for total playing time
11,47.72394164918335,5.606558943396541,88.6820632901154,6.486747565093315,2.5174400970579303,1.896725941326514
10,40.55053255619589,5.376795063128686,63.92920715166587,6.020795687660069,2.3813622539737156,1.7697512774267743
12,33.21426585429769,5.096526086253099,58.0518318052972,5.883909908031022,2.0731859622830044,1.685550543238741
13+,77.69778698264503,6.298251161953629,140.59505928999792,7.145627115773493,3.091593101650096,2.161835904912185
1,1.0030090270812437,1.0021689230457766,1.040582726326743,1.0289811994183988,1.0615711252653928,1.040582726326743
0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.6350419873694,1.397825950282605,1.32469763082612,1.2170430797148466,1.09210526315789,1.02978340026744
2,1.09229330841222,1.0650851101557834,1.05869339872668,1.0417289853498741,1.05285412262156,1.01147115367127
5,5.4909975235284,2.6984402057531063,6.04829834070909,2.81727499201543,1.33870967741935,1.16559177278278
4,3.56642204823314,2.1910642057636958,3.06936665994973,2.0248042766414884,1.20873786407767,1.08428371425702
7,13.8864320171147,3.8959261048151954,13.8114413695501,3.8886401376422786,1.68813559322034,1.32797709654021
6,12.4341156140236,3.747829444801259,11.4041593664587,3.6327520615618445,1.6327868852459,1.28490607050082
9,29.558589292533,4.933506039188935,43.2814976001818,5.468632109776017,2.0836820083682,1.60097222754187
8,22.0949349892783,4.529504579988458,31.5033109025229,5.02251477854724,1.93023255813953,1.47067046498159
