"technique","musiplectic.value"
"intervals...Unison...0.Semitones.",1
"intervals...Minor.2nd...1.semitone.",1.09210526315789
"intervals...Major.2nd...2.semitones...1.Whole.tone.",1.11160714285714
"intervals...Minor.3rd...3.semitones.",1.08260869565217
"intervals...Major.3rd...4.semitones...2.whole.tones.",1.10666666666667
"intervals...Perfect.4th...5.semitones.",1.10421286031042
"intervals...Augmented.4th.Diminished.5th...6.semitones.",1.25125628140704
"intervals...Perfect.5th...7.semitones.",1.08260869565217
"intervals...Minor.6th...8.semitones.",1.24189526184539
"intervals...Major.6th...9.semitones.",1.22962962962963
"intervals...Minor.7th...10.semitones.",1.2
"intervals...Major.7th...11.semitones.",1.19424460431655
"intervals...Perfect.Octave...12.semitones.",1.05285412262156
"intervals...Flat.9th...13.semitones.",1.45189504373178
"intervals...9th...14.semitones.",1.40677966101695
"intervals...Sharp.9...15.semitones.",1.50909090909091
"intervals...Flat.11th...16.semitones.",1.61165048543689
"intervals...11th...17.semitones.",1.5859872611465
"intervals...Sharp11th...18.semitones.",1.58095238095238
"intervals...Flat.13th...19.semitones.",1.62214983713355
"intervals...13th...20.semitones.",1.6327868852459
"intervals...Sharp.13th...21.semitones.",1.68813559322034
