"technique","musiplectic.value"
"intervals...Unison...0.Semitones.",1
"intervals...Minor.2nd...1.semitone.",1.07412419333542
"intervals...Major.2nd...2.semitones...1.Whole.tone.",1.09194191979557
"intervals...Minor.3rd...3.semitones.",1.05247429771592
"intervals...Major.3rd...4.semitones...2.whole.tones.",1.0818924147208
"intervals...Perfect.4th...5.semitones.",1.05117916132167
"intervals...Augmented.4th.Diminished.5th...6.semitones.",1.14951923307696
"intervals...Perfect.5th...7.semitones.",1.05356756501804
"intervals...Minor.6th...8.semitones.",1.1434229780172
"intervals...Major.6th...9.semitones.",1.13613002376172
"intervals...Minor.7th...10.semitones.",1.11882677916309
"intervals...Major.7th...11.semitones.",1.14594309675882
"intervals...Perfect.Octave...12.semitones.",1.03088792990321
"intervals...Flat.9th...13.semitones.",1.22391513474556
"intervals...9th...14.semitones.",1.24725141208408
"intervals...Sharp.9...15.semitones.",1.29193273782885
"intervals...Flat.11th...16.semitones.",1.35345376415773
"intervals...11th...17.semitones.",1.33418101232953
"intervals...Sharp11th...18.semitones.",1.33873199381487
"intervals...Flat.13th...19.semitones.",1.37636124158568
"intervals...13th...20.semitones.",1.38243680702403
"intervals...Sharp.13th...21.semitones.",1.42650037611957
