"technique","musiplectic.value"
"C.Major...A.Minor...0.Sharps.Flats.",1
"F.Major...D.Minor...1.Flat.",1.09691629955947
"Bb.Major...G.Minor...2.Flats.",1.1554524361949
"Eb.Major...C.Minor...3.Flats.",1.20289855072464
"Ab.Major...F.Minor...4.Flats.",1.28350515463918
"Db.Major...Bb.Minor...5.Flats.",1.33155080213904
"Gb.Major...Eb.Minor...6.Flats.",1.33870967741935
"Cb.Major...Ab.Minor...7.Flats.",1.36813186813187
"G.Major...E.Minor...1.Sharp.",1.06410256410256
"D.Major...B.Minor...2.Sharps.",1.10176991150442
"A.Major...F..Minor...3.Sharps.",1.13181818181818
"E.Major...C..Minor...4.Sharps.",1.14220183486239
"B.Major...G..Minor...5.Sharps.",1.23573200992556
"F..Major...D..Minor...6.Sharps.",1.33870967741935
"C..Major...A..Minor...7.Sharps.",1.35326086956522
