"technique","musiplectic.value"
"C.Major...A.Minor...0.Sharps.Flats.",1
"F.Major...D.Minor...1.Flat.",3.96386001554981
"Bb.Major...G.Minor...2.Flats.",5.6871961704197
"Eb.Major...C.Minor...3.Flats.",7.4822886890512
"Ab.Major...F.Minor...4.Flats.",11.9518903868102
"Db.Major...Bb.Minor...5.Flats.",15.4037694219539
"Gb.Major...Eb.Minor...6.Flats.",16.8243103079513
"Cb.Major...Ab.Minor...7.Flats.",20.0479969044429
"G.Major...E.Minor...1.Sharp.",4.25145537620107
"D.Major...B.Minor...2.Sharps.",2.10741095675711
"A.Major...F..Minor...3.Sharps.",3.04252239266872
"E.Major...C..Minor...4.Sharps.",3.33240607103915
"B.Major...G..Minor...5.Sharps.",9.62138996286675
"F..Major...D..Minor...6.Sharps.",15.833258179069
"C..Major...A..Minor...7.Sharps.",18.2598488689326
