"technique","musiplectic.value"
"fret.distances...1.",1
"fret.distances...2.",1.05285412262156
"fret.distances...3.",1.09210526315789
"fret.distances...4.",1.20873786407767
"fret.distances...5.",1.33870967741935
"fret.distances...6.",1.6327868852459
"fret.distances...7.",1.68813559322034
"fret.distances...8.",1.93023255813953
"fret.distances...9.",2.0836820083682
"fret.distances...10.",2.24324324324324
"fret.distances...11.",2.37142857142857
"fret.distances...12.",1.95294117647059
"fret.distances...More.than.12.frets.",2.91228070175439
