"technique","musiplectic.value"
"fret.distances...1.",1
"fret.distances...2.",1.01147115367127
"fret.distances...3.",1.02978340026744
"fret.distances...4.",1.08428371425702
"fret.distances...5.",1.16559177278278
"fret.distances...6.",1.28490607050082
"fret.distances...7.",1.32797709654021
"fret.distances...8.",1.47067046498159
"fret.distances...9.",1.60097222754187
"fret.distances...10.",1.70073097760713
"fret.distances...11.",1.82275362961478
"fret.distances...12.",1.61981407205243
"fret.distances...More.than.12.frets.",2.07752430462061
