"technique","musiplectic.value"
"fret.distances...1.",1
"fret.distances...2.",1.09229330841222
"fret.distances...3.",1.6350419873694
"fret.distances...4.",3.56642204823314
"fret.distances...5.",5.4909975235284
"fret.distances...6.",12.4341156140236
"fret.distances...7.",13.8864320171147
"fret.distances...8.",22.0949349892783
"fret.distances...9.",29.558589292533
"fret.distances...10.",40.4288809585273
"fret.distances...11.",47.5807698242358
"fret.distances...12.",33.1146230567348
"fret.distances...More.than.12.frets.",77.4646936216971
