"technique","musiplectic.value"
"fret.distances...1.",1
"fret.distances...2.",1.05869339872668
"fret.distances...3.",1.32469763082612
"fret.distances...4.",3.06936665994973
"fret.distances...5.",6.04829834070909
"fret.distances...6.",11.4041593664587
"fret.distances...7.",13.8114413695501
"fret.distances...8.",31.5033109025229
"fret.distances...9.",43.2814976001818
"fret.distances...10.",61.4359680727509
"fret.distances...11.",85.2234628218009
"fret.distances...12.",55.7878103648906
"fret.distances...More.than.12.frets.",135.111851977688
