"technique","musiplectic.value"
"1.Finger.Pluck.",1.23267326732673
"2.Finger.Plucking.",1
"3.Finger.Plucking.",2.98203592814371
"Raking.",3.15189873417722
"Thumb.Pluck.",2.26363636363636
"Using.a.Pick.",1.85130111524164
"Slapping.",3.13207547169811
"Popping.",2.46534653465346
"Double.Thumb...up.stroke.",6.225
"Double.Thumb...down.stroke.",5.08163265306122
"Palm.muting...thumb.pluck.",2.24324324324324
"Palm.muting...using.a.pick.",1.97619047619048
"Palm.muting...finger.pluck.",2.05785123966942
"Tapping....with.plucking.hand.",3.68888888888889
"Two.Handed.Tapping.",6.07317073170732
"Fretting.hand..left.hand..slap.",3.984
"Hammer.on.",1.23880597014925
"Pull.off.",1.37190082644628
"Harmonic.",1.97619047619048
"Dead.note...plucked.picked.",1.66
"Dead.note...slapped.",2.59375
"Dead.note...popped.",2.54081632653061
"Artificial.Harmonic.",3.55714285714286
"Double.Stops.",2.04098360655738
"Chords...3.note.voicing.",2.11016949152542
"Chords...4.note.voicing.",3.53191489361702
