"technique","musiplectic.value"
"click.rates....300.",3.66176470588235
"click.rates....272.",3.23376623376623
"click.rates....250.",2.79775280898876
"click.rates....227.",2.54081632653061
"click.rates....206.",2.0836820083682
"click.rates....187.",1.72318339100346
"click.rates....169.",1.52293577981651
"click.rates....153.",1.39106145251397
"click.rates....139.",1.22660098522167
"click.rates....126.",1.12162162162162
"click.rates....115.",1.08260869565217
"click.rates....104.",1.0755939524838
"click.rates....94.",1.05285412262156
"click.rates....85.",1
"click.rates....78.",1.04621848739496
"click.rates....70.",1.07096774193548
"click.rates....64.",1.14220183486239
"click.rates....58.",1.19138755980861
"click.rates....52.",1.21167883211679
"click.rates....48.",1.26717557251908
"click.rates....43.",1.29350649350649
"click.rates....39.",1.36813186813187
"click.rates....36.",1.37569060773481
