"technique","musiplectic.value"
"click.rates....300.",2.68671718746743
"click.rates....272.",2.33562663600868
"click.rates....250.",2.13851588944764
"click.rates....227.",1.94084595234893
"click.rates....206.",1.68770346725365
"click.rates....187.",1.46710982532949
"click.rates....169.",1.41811176275068
"click.rates....153.",1.24216592214243
"click.rates....139.",1.12236835271358
"click.rates....126.",1.06816990302245
"click.rates....115.",1.03755941632537
"click.rates....104.",1.04358961384088
"click.rates....94.",1.02790253875631
"click.rates....85.",1
"click.rates....78.",1.01910544702397
"click.rates....70.",1.0553796107329
"click.rates....64.",1.1093467589561
"click.rates....58.",1.1424655259104
"click.rates....52.",1.16445064537805
"click.rates....48.",1.19893398440998
"click.rates....43.",1.21404391118754
"click.rates....39.",1.27499458218608
"click.rates....36.",1.30772688927593
