"technique","musiplectic.value"
"click.rates....300.",27.7861565636146
"click.rates....272.",22.5194806695277
"click.rates....250.",18.6745401422168
"click.rates....227.",15.8036165065009
"click.rates....206.",11.9789345024384
"click.rates....187.",8.28524455017134
"click.rates....169.",6.69932137057274
"click.rates....153.",4.93458826470908
"click.rates....139.",3.09630347253889
"click.rates....126.",1.80617190967469
"click.rates....115.",1.32954886689188
"click.rates....104.",1.52132127522448
"click.rates....94.",1.31282953256627
"click.rates....85.",1
"click.rates....78.",1.31432566207805
"click.rates....70.",1.61426333082087
"click.rates....64.",2.74085983324438
"click.rates....58.",3.25388832241927
"click.rates....52.",3.69703469277073
"click.rates....48.",4.5275776720812
"click.rates....43.",5.22504908156937
"click.rates....39.",7.53041578587813
"click.rates....36.",7.92315615302246
