"technique","musiplectic.value"
"click.rates....300.",41.0174166164042
"click.rates....272.",31.8659060744182
"click.rates....250.",25.7722167863565
"click.rates....227.",19.1991178240153
"click.rates....206.",14.8468364824579
"click.rates....187.",12.6528250301968
"click.rates....169.",11.1964927981304
"click.rates....153.",7.10197416580803
"click.rates....139.",3.1925565910457
"click.rates....126.",2.15191389748775
"click.rates....115.",1.10229299630181
"click.rates....104.",1.86025113490063
"click.rates....94.",1.41088462095514
"click.rates....85.",1
"click.rates....78.",1.18148474817314
"click.rates....70.",2.0554528737244
"click.rates....64.",3.68471167127021
"click.rates....58.",4.64686262599528
"click.rates....52.",5.52377879324048
"click.rates....48.",6.36625280192571
"click.rates....43.",7.86543040834633
"click.rates....39.",10.8561992936425
"click.rates....36.",12.4388057517012
