"technique","musiplectic.value"
"intervals...Unison...0.Semitones.",1
"intervals...Minor.2nd...1.semitone.",0.57212410380404
"intervals...Major.2nd...2.semitones...1.Whole.tone.",0.680743971021136
"intervals...Minor.3rd...3.semitones.",0.351746531241257
"intervals...Major.3rd...4.semitones...2.whole.tones.",0.583427852731372
"intervals...Perfect.4th...5.semitones.",0.522539916399022
"intervals...Augmented.4th.Diminished.5th...6.semitones.",1.76715985865418
"intervals...Perfect.5th...7.semitones.",0.433662508685353
"intervals...Minor.6th...8.semitones.",1.33690765689382
"intervals...Major.6th...9.semitones.",1.30218269458364
"intervals...Minor.7th...10.semitones.",1.14322819215659
"intervals...Major.7th...11.semitones.",0.928518518189379
"intervals...Perfect.Octave...12.semitones.",0.36034670166992
"intervals...Flat.9th...13.semitones.",2.93589643170497
"intervals...9th...14.semitones.",2.43919506756834
"intervals...Sharp.9...15.semitones.",3.2052027581049
"intervals...Flat.11th...16.semitones.",4.20968362694556
"intervals...11th...17.semitones.",3.86832261112538
"intervals...Sharp11th...18.semitones.",4.25618383418727
"intervals...Flat.13th...19.semitones.",4.78171986007849
"intervals...13th...20.semitones.",4.77504418349432
"intervals...Sharp.13th...21.semitones.",5.42258010759649
