"technique","musiplectic.value"
"C.Major...A.Minor...0.Sharps.Flats.",1
"F.Major...D.Minor...1.Flat.",1.0424417640248
"Bb.Major...G.Minor...2.Flats.",1.07274851054365
"Eb.Major...C.Minor...3.Flats.",1.09753077231974
"Ab.Major...F.Minor...4.Flats.",1.15031558069137
"Db.Major...Bb.Minor...5.Flats.",1.16772178641427
"Gb.Major...Eb.Minor...6.Flats.",1.17335106733332
"Cb.Major...Ab.Minor...7.Flats.",1.19450053191198
"G.Major...E.Minor...1.Sharp.",1.03342220446569
"D.Major...B.Minor...2.Sharps.",1.03113592888103
"A.Major...F..Minor...3.Sharps.",1.04861618603246
"E.Major...C..Minor...4.Sharps.",1.05189015385981
"B.Major...G..Minor...5.Sharps.",1.11992487853851
"F..Major...D..Minor...6.Sharps.",1.16728421959035
"C..Major...A..Minor...7.Sharps.",1.18448240135482
