"technique","musiplectic.value"
"C.Major...A.Minor...0.Sharps.Flats.",1
"F.Major...D.Minor...1.Flat.",2.63170491348171
"Bb.Major...G.Minor...2.Flats.",3.85465685236327
"Eb.Major...C.Minor...3.Flats.",5.19954185216842
"Ab.Major...F.Minor...4.Flats.",7.78050203566009
"Db.Major...Bb.Minor...5.Flats.",10.2982005577747
"Gb.Major...Eb.Minor...6.Flats.",11.2966391388945
"Cb.Major...Ab.Minor...7.Flats.",12.5153478939634
"G.Major...E.Minor...1.Sharp.",1.49103130647876
"D.Major...B.Minor...2.Sharps.",2.28479332305656
"A.Major...F..Minor...3.Sharps.",2.82616715934543
"E.Major...C..Minor...4.Sharps.",3.88702256507802
"B.Major...G..Minor...5.Sharps.",6.28022269150844
"F..Major...D..Minor...6.Sharps.",11.1473087746711
"C..Major...A..Minor...7.Sharps.",11.6027617584487
