"technique","musiplectic.value"
"1.Finger.Pluck.",1.11996873036927
"2.Finger.Plucking.",1
"3.Finger.Plucking.",2.68632904015812
"Raking.",2.33762631861539
"Thumb.Pluck.",1.70214862989074
"Using.a.Pick.",1.76652736553814
"Slapping.",2.43674623266448
"Popping.",1.92297348628886
"Double.Thumb...up.stroke.",5.64696971722673
"Double.Thumb...down.stroke.",4.17207887915277
"Palm.muting...thumb.pluck.",1.64753929705265
"Palm.muting...using.a.pick.",1.68186225865221
"Palm.muting...finger.pluck.",1.46389841716236
"Tapping....with.plucking.hand.",2.97454512023084
"Two.Handed.Tapping.",4.88435171905661
"Fretting.hand..left.hand..slap.",2.5805665066211
"Hammer.on.",1.1585208716437
"Pull.off.",1.24589910816303
"Harmonic.",1.50873335224169
"Dead.note...plucked.picked.",1.34090042289631
"Dead.note...slapped.",1.9147218245387
"Dead.note...popped.",1.9012133879557
"Artificial.Harmonic.",2.42017230754796
"Double.Stops.",1.49073801809375
"Chords...3.note.voicing.",1.58876224445239
"Chords...4.note.voicing.",2.7125229804039
