"technique","musiplectic.value"
"X1.Finger.Pluck.",1.1355134783208
"X2.Finger.Plucking.",1
"X3.Finger.Plucking.",6.33856713843832
"Raking.",6.6146428168221
"Thumb.Pluck.",3.99696328761907
"Using.a.Pick.",3.7346152773908
"Slapping.",5.55312083537528
"Popping.",4.25922061394482
"Double.Thumb...up.stroke.",9.79931487178295
"Double.Thumb...down.stroke.",8.41678682971999
"Palm.muting...thumb.pluck.",4.23177061784536
"Palm.muting...using.a.pick.",4.00757405054799
"Palm.muting...finger.pluck.",3.73686707267433
"Tapping....with.plucking.hand.",6.87225574500665
"Two.Handed.Tapping.",9.19907958591849
"Fretting.hand..left.hand..slap.",7.72256214988885
"Hammer.on.",0.611460879779115
"Pull.off.",1.04880802623734
"Harmonic.",2.87747223146119
"Dead.note...plucked.picked.",2.23251052468292
"Dead.note...slapped.",4.87527357508614
"Dead.note...popped.",4.87051148528744
"Artificial.Harmonic.",6.89321968345465
"Double.Stops.",3.84117436824151
"Chords...3.note.voicing.",3.37065778119031
"Chords...4.note.voicing.",6.77973422659787
