"technique","musiplectic.value"
"X1.Finger.Pluck.",0.995520720291423
"X2.Finger.Plucking.",1
"X3.Finger.Plucking.",9.9835398034893
"Raking.",8.32426190100358
"Thumb.Pluck.",4.49784509110655
"Using.a.Pick.",6.07052740243185
"Slapping.",7.7026984850531
"Popping.",5.78484219405491
"Double.Thumb...up.stroke.",14.0103550206594
"Double.Thumb...down.stroke.",12.0052705005092
"Palm.muting...thumb.pluck.",4.52493518934742
"Palm.muting...using.a.pick.",5.36234567508633
"Palm.muting...finger.pluck.",3.59857408699136
"Tapping....with.plucking.hand.",9.39349668990379
"Two.Handed.Tapping.",13.7581760285168
"Fretting.hand..left.hand..slap.",8.92906709032413
"Hammer.on.",0.682812204865777
"Pull.off.",1.24472833628369
"Harmonic.",2.99730835006223
"Dead.note...plucked.picked.",2.17255474995289
"Dead.note...slapped.",5.59191998192038
"Dead.note...popped.",5.7835223429706
"Artificial.Harmonic.",7.96648299698398
"Double.Stops.",3.50472345605931
"Chords...3.note.voicing.",3.4358178583626
"Chords...4.note.voicing.",9.11156752883114
